"name","year","duration","genre","rating","description","director","stars"
"Superbabies: Baby Geniuses 2","2004","1h 28min","Comedy Family Sci-Fi","1.5","A group of smart-talking toddlers find themselves at the center of a media mogul's experiment to crack the code to baby talk. The toddlers must race against time for the sake of babies everywhere.","Bob Clark","Jon Voight Scott Baio Vanessa Angel"
"Turks in Space","2006","1h 50min","Action Comedy Sci-Fi","1.5","The son of ""The Man Who Saved the World"" is searching for a crew member of his spaceship who has been missing for eight years.","Kartal Tibet","Cüneyt Arkin Mehmet Ali Erbil Deniz Seki"
"The Cost of Deception","2021","2h 5min","Action Crime Drama","1.5","When a young, ambitious market researcher finds out her boss is involved in the leaking of a scandalous Prime Minister speech, she decides to investigate the case to gain a position among the big-shots. Based on actual events.","Keith English","Vivianne Bánovits András Mózes Barna Bokor"
"Birdemic: Shock and Terror","2010","1h 45min","Horror Thriller","1.7","A horde of mutated birds descends upon the quiet town of Half Moon Bay, California. As the death toll rises, two citizens manage to fight back, but will they survive Birdemic?","James Nguyen","Alan Bagh Whitney Moore Tippi Hedren"
"Manos: The Hands of Fate","1966","1h 10min","Horror","1.7","A family gets lost on the road and stumbles upon a hidden, underground, devil-worshiping cult led by the fearsome Master and his servant Torgo.","Harold P. Warren","Tom Neyman John Reynolds Diane Adelson"
"Pledge This!","2006","1h 31min","Comedy","1.7","At South Beach University, a beautiful sorority president takes in a group of unconventional freshman girls seeking acceptance into her house.","William Heins","Paris Hilton Simon Rex Paula Garcés"
"The Oogieloves in the Big Balloon Adventure","2012","1h 28min","Adventure Family Fantasy","1.7","The Oogieloves, Goobie, Zoozie, and Toofie, set out to find five magical balloons that will make their good friend Schluufy's surprise birthday party extra special.","Matthew Diamond","Jaime Pressly Cloris Leachman Christopher Lloyd"
"Going Overboard","1989","1h 39min","Comedy","1.8","A struggling young comedian takes a menial job on a cruise ship hoping for his big chance to make it in the world of cruise-ship comedy.","Valerie Breiman","Adam Sandler Billy Bob Thornton Billy Zane"
"Radhe","2021","1h 53min","Action Thriller","1.8","An honest cop is determined to bring down a corrupt drug mafia, who targets youth to drive towards drug addiction.","Prabhu Deva","Salman Khan Disha Patani Randeep Hooda"
"Disaster Movie","2008","1h 27min","Comedy Sci-Fi","1.9","Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.","Jason Friedberg","Carmen Electra Vanessa Lachey Nicole Parker"
"From Justin to Kelly","2003","1h 21min","Comedy Music Musical","1.9","A waitress from Texas and a college student from Pennsylvania meet during spring break in Fort Lauderdale, Florida and come together through their shared love of singing.","Robert Iscove","Kelly Clarkson Justin Guarini Katherine Bailess"
"Race 3","2018","2h 40min","Action Thriller","1.9","Relationships and loyalties of a criminal family planning its next big heist are tested when some shocking revelations strike them.","Remo D'Souza","Anil Kapoor Salman Khan Bobby Deol"
"The Hottie & the Nottie","2008","1h 31min","Comedy Romance","2.0","A woman agrees to go on a date with a man only if he finds a suitor for her unattractive best friend.","Tom Putnam","Paris Hilton Joel David Moore Christine Lakin"
"Enes Batur: Hayal Mi Gerçek Mi?","2018","1h 50min","Comedy","2.0","Enes Batur has to decide between going to college or being a professional YouTuber.","Kamil Çetin","Enes Batur Baran Teyin Mete Güler"
"House of the Dead","2003","1h 30min","Action Adventure Horror","2.1","A group of college students travels to a mysterious island to attend a rave, which is soon taken over by bloodthirsty zombies.","Uwe Boll","Jonathan Cherry Tyron Leitso Clint Howard"
"Baaghi 3","2020","2h 23min","Action","2.2","A man embarks on a bloody rampage to save his kidnapped brother.","Ahmed Khan","Tiger Shroff Riteish Deshmukh Shraddha Kapoor"
"Student of the Year 2","2019","2h 26min","Action Comedy Drama","2.2","A student must face off against bullies and overcome hurdles, both academic and romantic, to win his college's coveted Student of the Year trophy.","Punit Malhotra","Tiger Shroff Ananya Panday Tara Sutaria"
"Heropanti 2","2022","2h 25min","Action Comedy Crime","2.2","Babloo Ranawat, a genius hacker, is tasked with tracking down Laila, the mastermind behind the world's largest cyber-crime yet to occur. Will Babloo be able to stop him?","Ahmed Khan","Tiger Shroff Nawazuddin Siddiqui Kriti Sanon"
